,0
496076,hi
543786,es
483906,en
567860,en
433249,en
457799,en
565716,en
460321,en
553648,en
567525,en
535167,zh
573911,en
543753,ko
362140,hi
573910,en
566674,en
470401,en
510498,en
550294,en
502350,es
566876,en
539470,hi
524288,hi
437081,ko
518963,ko
573917,en
487358,ja
525183,en
517324,es
504321,fr
556509,ko
585062,hi
491480,en
400164,en
528949,es
497370,ko
581475,en
537915,en
500860,en
327331,en
581958,en
529216,es
590872,en
526050,en
507389,en
500682,en
515333,en
462104,en
522144,ms
553644,en
458253,en
527261,en
551300,id
535581,en
587682,en
493141,en
515248,en
571495,it
523561,da
513083,en
565312,en
570973,en
450648,en
502292,en
553645,en
514999,en
486472,en
588001,es
546230,ms
412190,zh
505948,en
553651,en
582607,en
575219,zh
586347,en
593691,en
592136,en
554805,ja
576040,en
513576,en
533992,es
531306,en
573915,en
496967,fr
602609,en
586245,en
517288,ar
593489,en
535356,es
484641,en
524323,pt
506731,id
581420,en
574638,en
417384,en
569594,hi
601801,hi
508101,en
606215,en
573106,id
463257,en
593280,en
480042,en
604130,en
609660,en
604196,en
610619,en
610120,en
603519,en
566221,pt
495843,es
580846,en
611468,de
587910,es
531503,en
612701,en
612152,en
566222,en
533148,hi
582913,en
600881,es
449684,fr
616700,en
531509,en
465003,en
439059,en
246569,en
528888,en
535292,en
535544,en
437023,es
472983,en
582570,en
480105,en
581361,hi
500723,te
624078,en
597089,hi
559969,en
624932,en
492188,en
625561,en
623392,pt
491283,en
624060,fr
600335,pt
412186,en
616904,en
618219,ar
604196,en
621561,en
625128,en
549599,es
619264,es
618019,en
574376,es
454292,te
625450,en
551332,en
584962,en
510338,es
633517,en
530382,en
517909,en
398978,en
624989,en
612502,en
635769,en
630750,en
620725,en
638072,en
568091,en
631997,ja
29826,es
533534,tl
627070,en
577328,hi
623627,es
372337,en
637627,en
599975,en
576225,tl
560362,en
532880,es
97351,hi
542928,es
536869,en
486225,de
605373,es
531438,en
622963,en
513409,en
607072,en
585759,en
636698,it
530915,en
642203,en
295151,en
522162,en
39228,ja
586940,fr
508965,en
642749,en
611207,en
621753,en
642739,en
540158,en
642738,en
570503,ko
635885,en
587693,en
649800,en
509967,en
596204,en
639609,en
614488,fr
650073,en
607146,en
532620,fr
649802,en
532327,en
570465,en
634541,en
638707,en
653567,en
652483,pt
653601,en
567524,en
666397,en
622951,zh
614698,es
474955,te
664425,en
541340,zh
581600,en
557445,en
565426,en
630601,ak
627133,en
476549,en
505225,en
592867,ja
658760,de
613446,hi
505394,en
651070,en
520763,en
592350,ja
571891,ja
673768,en
532267,ja
671652,en
567970,en
675595,en
449756,en
610892,ja
665251,ja
613504,en
668195,it
674607,fr
676601,en
674944,es
637157,en
545609,en
660609,en
560204,en
505951,ta
624808,en
526052,en
615177,en
544415,en
688848,en
597219,en
659067,fr
595399,en
560044,en
578908,en
675592,hi
628241,te
455004,hi
398421,id
689723,en
584166,id
687156,en
690596,en
653744,en
659674,te
658751,de
571785,ko
613099,es
696000,en
699280,en
446867,en
687136,en
688900,ja
530956,en
673175,en
158394,en
582596,en
601516,en
590403,hi
632931,es
661043,hi
581859,en
671909,hi
307583,hi
237305,hi
587385,en
576156,en
543119,en
557336,pl
656563,pt
442405,te
638706,en
653725,en
613096,es
707504,en
611537,hi
530973,en
339095,en
582927,es
676792,ml
675598,es
665459,en
667520,ja
653668,en
707886,en
547144,th
615165,ja
698432,es
714338,hi
684700,en
531454,en
406147,tl
710451,en
659991,en
716978,pt
718831,en
547016,en
694234,it
706345,en
601807,hi
706510,en
703754,en
466550,hi
586954,de
682426,tr
543688,tl
663459,en
649058,es
706783,hi
499726,fr
603119,en
718840,en
637395,en
605116,en
673174,es
583083,en
587496,en
588009,es
718867,en
724989,en
591121,tl
611395,zh
718866,en
720748,en
621681,ms
523977,en
723895,en
683287,en
726649,fr
612706,en
686677,en
614696,ko
725084,en
695476,en
664300,en
567145,en
714375,en
725082,en
627072,hi
695596,en
499932,en
373879,ja
726664,en
625568,en
130737,en
478570,en
665877,en
714521,en
503352,id
655293,id
626393,en
727796,fr
645489,hi
661747,en
623491,en
643438,hi
726887,en
649394,en
674779,te
615466,en
656353,en
699210,en
661950,en
658777,de
666271,en
644090,en
602797,ja
710356,en
682110,en
629742,en
588346,en
638134,en
656690,en
678489,zh
640421,hi
553646,en
505379,en
728133,hi
617505,en
560050,en
641662,en
735110,es
509635,en
734309,en
728116,mr
545237,en
701175,es
535849,zh
741067,en
601666,en
681019,pl
667018,es
443526,zh
575774,en
743601,en
653574,en
538528,ms
567971,en
597156,en
664280,en
15939,cn
590706,en
746817,en
614560,en
620897,en
729259,en
743227,en
741998,it
747999,en
556984,en
743059,en
631344,en
743382,hi
661728,en
740996,ko
624963,en
744676,hi
675327,en
692969,no
54408,en
670266,en
606523,ko
614911,en
686941,en
664576,pt
615665,en
642803,en
671039,fr
753583,en
738646,en
757305,te
589871,en
667869,it
754053,en
592984,en
658412,hi
653734,en
759780,en
754800,de
80862,te
615667,en
653756,es
583090,ja
288287,zh
643882,en
762511,en
752618,es
622855,en
656561,en
566222,en
433049,en
441894,hi
732359,en
485157,en
575604,ko
654905,it
747349,en
676844,es
199808,te
752885,en
698860,ja
713776,en
611213,en
658092,en
702525,en
532865,en
765123,de
755339,pt
594082,en
668156,tr
739518,en
755328,en
633908,en
636565,it
765613,pt
768520,en
560144,en
770922,en
752939,en
773655,en
574374,es
565590,tl
728136,en
752455,en
774259,es
563355,en
774054,en
505746,no
587317,hi
669525,en
774372,en
772732,en
768503,pl
774885,en
781425,en
776673,en
760653,de
760969,en
760314,de
739227,pt
664177,fr
653747,en
450070,en
674865,es
719410,zh
722913,en
776142,en
775996,en
515875,id
639995,ms
735919,hi
508822,ja
644092,en
745078,pl
655831,id
587996,es
782973,en
581389,ko
735129,en
757860,zh
778870,en
780154,pl
541524,en
779201,en
773998,pt
614409,en
373016,hi
649087,sv
787298,pl
461649,hi
659063,fr
763532,en
460465,en
746422,it
606718,te
739269,zh
693906,en
778730,es
794095,en
650614,es
785976,pt
583689,en
792517,es
753230,es
797309,en
728113,de
796649,en
399566,en
638597,en
403858,hi
557606,en
749618,es
282728,en
731740,en
799555,en
785534,tr
602310,en
802443,en
796124,en
405314,en
728754,ja
799573,en
739267,zh
801058,en
695958,hi
681435,te
550205,en
797394,ru
786190,hi
699102,en
675108,es
621954,en
529106,ru
725649,es
787428,en
799497,pt
799141,en
651589,es
649368,es
615678,en
69891,hi
663558,zh
810731,en
715978,de
763568,en
559581,en
651906,pt
809373,en
694256,it
689249,es
741434,ja
69774,hi
631060,en
694103,hi
666649,id
802403,hi
816836,en
809236,tr
806067,ta
503736,en
753946,ml
780632,id
471498,fr
533514,ja
773569,zh
717192,nl
812456,en
823855,en
802069,en
676859,es
823754,en
574060,en
812592,pt
671295,en
701524,es
761270,sv
828146,en
615658,en
824865,en
785522,en
581644,en
553592,en
633515,nl
618746,es
672741,en
607259,en
602063,ja
656113,ta
694254,it
823461,en
646207,en
710871,th
822562,es
830645,es
776526,en
726684,fr
739542,en
818659,pt
597433,it
662237,ko
653024,en
604360,ko
525660,cn
693359,es
695969,hi
641501,fr
768334,it
666624,it
579047,en
806443,cn
748807,en
633954,fr
568620,en
845222,ko
760883,de
579741,ja
730840,en
638449,en
749274,en
438631,en
652809,en
785539,en
820492,en
618010,vi
729720,fr
726429,es
850329,de
672322,ja
821427,en
763149,en
653457,hi
685264,en
449406,en
842171,th
727745,en
857563,en
857497,en
760747,no
648316,hi
776552,en
851281,en
619297,en
845422,es
847981,de
664031,it
852851,en
666243,en
857729,en
597891,en
685274,ja
752505,en
853354,en
347626,en
744876,hi
796849,ja
675445,en
857731,en
633844,ja
785457,en
801646,en
436356,ja
567748,en
664574,en
468225,en
628914,en
862582,en
853588,de
512025,en
855823,en
760154,pt
739990,en
642538,ja
785752,en
600583,en
597316,en
683641,de
797594,en
740925,en
776909,es
879540,en
664236,en
866127,fr
877657,en
618162,en
800669,id
866529,en
840611,ko
595280,es
537116,en
512195,en
712454,fr
615684,fr
524417,en
786705,pt
819500,en
669671,en
785516,fr
839100,ja
716255,te
846167,pl
871964,pl
662708,ja
864873,en
809970,pl
796499,en
785527,nl
732305,en
843241,ja
471342,en
770742,it
646380,en
673692,ta
734265,en
785538,pt
410113,en
741318,cn
872537,en
585245,en
828871,hi
785544,ja
874965,de
722778,it
880003,en
886883,en
878988,ja
762469,en
890280,en
678478,en
670981,es
869623,en
795778,en
728570,en
734519,ja
615666,en
887645,pt
892433,fr
898269,en
758879,en
810873,en
645886,en
763152,es
888910,en
890825,en
888917,fr
895001,th
592508,hi
747688,it
671043,fr
767377,hi
32471,en
760336,en
900743,en
869617,fr
770254,en
811072,es
785533,en
790523,it
877587,ta
554230,en
776821,es
894155,en
869602,en
900742,en
785545,en
890601,en
657644,ml
760535,tl
882093,pl
903303,en
904263,en
911068,en
789708,en
722798,ja
858815,id
768147,ja
754067,fr
728366,en
377911,tl
754612,ml
852590,es
899405,es
823610,en
634754,en
601337,hi
832277,it
818647,es
836009,en
646385,en
926899,en
913179,en
882096,en
700127,pt
790142,en
809972,pl
920394,tr
675267,en
862965,en
817648,en
852355,zh
193197,te
923632,en
926179,en
788045,nl
776328,it
826740,ps
916740,en
756403,en
665828,fr
808579,nl
760517,ko
772272,en
752623,en
927855,tr
696806,en
632727,en
890656,en
926980,de
913862,en
628964,ja
437013,en
933738,en
928381,fr
664332,hi
840882,en
937348,en
591120,ko
739993,en
879440,it
673392,te
754716,hi
928769,th
929436,en
929477,en
929472,en
929749,en
850018,en
921655,en
760868,sv
940336,en
943022,en
936625,en
878987,zh
841764,nl
890322,ja
572667,id
945457,en
579974,te
945455,en
765119,en
838484,en
912598,ja
946327,en
897097,hi
682344,es
881957,nl
386591,tr
950445,en
930821,ja
955384,en
408691,ar
773336,en
705861,en
866678,pl
800383,ta
606402,ko
944664,es
953233,pl
785521,no
755836,hi
693838,hi
953300,en
951470,en
829557,pl
120811,ja
494373,pl
859453,pl
569118,ml
792358,ml
772307,ar
946251,it
800407,es
778106,en
785985,fr
642889,ta
941596,hi
822256,en
962697,en
895033,ta
800937,en
965244,ja
820912,en
615469,en
859585,da
960803,es
828853,en
965143,ko
889699,fa
848791,en
934761,en
934649,en
973164,en
953138,en
961484,en
802065,te
888268,hi
975088,en
725201,en
965150,en
831946,en
695962,hi
971647,tr
678287,en
971618,en
605153,te
967940,sv
834654,te
763073,en
880313,es
975714,en
880841,en
693841,hi
975923,de
667739,en
438148,en
988595,ms
891473,te
778855,en
988046,en
560057,en
864370,zh
745376,en
997010,en
991115,en
887109,hi
939475,pl
955971,es
999262,en
960170,es
997023,pt
774806,hi
983683,en
892120,es
682401,hi
818612,en
800345,ko
762975,en
760741,en
801526,hi
765172,en
755566,en
1000194,es
982939,pl
154337,te
1006851,en
601635,hi
996518,no
805327,en
1003180,en
796207,hi
960700,ja
934878,hi
1014779,en
862551,en
1005342,en
997703,de
838197,it
990691,da
1002305,en
946703,es
804413,en
769636,es
852448,en
738215,en
934772,te
311777,te
985322,en
934756,en
829560,pl
49046,de
1011480,en
744276,en
851737,ml
661374,en
773975,en
863530,ml
911129,fr
949423,en
999127,pl
762968,en
1015999,en
634304,hi
877957,ja
300420,ar
1013228,en
1025029,en
1014386,hi
429473,en
852046,fr
747687,it
960704,ja
1016234,en
889080,en
1027014,en
829280,en
964930,en
833097,en
714339,es
1005031,en
868666,te
413928,ar
723419,en
1004772,en
799546,en
653588,en
900667,ja
1018648,en
31521,ta
658739,en
1023901,en
837938,en
858485,kn
864959,en
759507,en
744594,en
921643,en
778625,hi
1011579,en
779782,en
732459,en
873126,it
913822,en
1014550,en
999722,de
541134,en
511817,en
632856,en
1033107,en
823766,en
873125,it
685691,es
968739,fr
1028864,en
1013860,en
910858,en
908397,hi
1043110,en
915831,hi
560052,en
985305,en
979924,en
1018647,en
769802,zh
773867,ko
1032950,pl
828588,it
1013602,en
555604,en
668461,en
936960,en
1033024,en
1013842,en
1004554,ta
800815,en
736526,no
1033303,pt
1044277,en
821881,en
814338,en
799375,en
961327,ja
736918,en
668482,en
1040599,en
1006917,fr
633374,ko
916224,ja
805730,fi
857346,ml
1013577,en
851644,ko
848112,es
1032627,ta
820067,ja
1046532,es
945897,es
518896,zh
882826,hi
948037,es
1053080,pl
1042984,pt
76209,ar
913129,sv
1001865,en
913816,pt
881180,nl
890980,es
1045944,en
1018645,en
1041580,ta
1013572,en
1022206,pt
1053110,en
1053419,es
1000938,it
1050266,en
862618,ml
714669,en
674255,id
1040533,en
944864,nl
948276,fr
934222,en
807132,en
890541,it
996569,en
962232,pt
958647,en
1015356,en
619930,no
1065796,pl
1048246,en
904557,ta
1066719,en
858408,en
783461,hi
1066717,en
864573,hi
1050540,en
1061117,en
429784,en
700391,en
937220,en
843794,ko
990873,en
798223,es
866413,en
673271,en
783675,ja
914268,en
37403,hi
739986,en
1034629,nl
1072567,es
1007362,en
1049046,en
1061671,en
703451,en
991814,ja
1027464,ms
884434,hi
918864,ta
1063422,en
722149,en
852096,en
1024621,ja
175435,ar
921785,it
1065890,en
714964,en
818648,es
611359,hi
1071806,th
1073337,tr
1081291,de
889741,th
270290,ar
1025169,th
1087040,en
1088163,en
776835,en
948050,fr
869589,en
1040603,en
995012,en
1018228,hi
1057577,nl
740441,ko
868985,es
638974,en
799676,te
849869,ko
920220,pl
758323,en
885184,te
1098164,en
736790,en
758336,en
948713,en
1073413,es
886755,es
1045343,id
734460,en
1068141,en
918287,en
884363,es
1027982,zh
813726,en
1093247,en
878361,en
1102776,fr
648743,es
833971,es
796161,ar
1100962,sv
569094,en
298618,en
455476,en
329172,ar
651724,en
1005835,en
1038627,en
1005159,en
1058647,en
984555,en
998022,de
552688,en
1101799,es
1079078,no
986594,hi
1114590,en
1103576,en
944152,tr
1030613,nl
647250,en
1098110,de
943930,es
1118425,en
1107872,pl
1111579,en
1117698,pl
756075,ar
963765,es
1058671,en
1112125,en
1073091,en
697843,en
812225,ja
1128568,tr
1119173,da
884605,en
734253,hi
1040148,en
1114901,en
1126147,en
1109502,en
1127211,en
1121316,es
346698,en
1136736,hi
561717,en
824104,en
614479,en
1128612,en
921636,en
1134865,en
1128717,en
1139984,en
805320,es
1050035,ja
916738,en
1006911,tr
830721,en
736769,en
1128718,en
1141202,tr
1084400,en
1059638,pl
983105,sv
1133922,de
1083862,ja
1128720,en
881209,en
1140066,de
636173,ko
457332,en
1142216,es
1034335,th
724209,en
977177,th
988078,es
1156017,en
1018754,en
1070514,ja
1151353,en
1002307,en
790493,en
1054513,tr
1153366,ar
1042075,ar
1012801,en
888710,hi
644124,it
832502,en
1120628,de
1158959,pt
418433,ar
496450,fr
961420,ja
558343,en
628039,en
862557,en
999644,en
988288,en
1082168,ja
1122932,en
926393,en
1128719,en
1010826,es
826241,es
978783,sv
1169007,en
1148969,es
1149381,pl
1167520,es
1165111,en
792293,en
820525,en
1115191,en
353577,en
1139819,nl
1122634,ja
1011367,pl
1042216,en
580001,en
1126852,pt
1102935,ar
866463,en
1115128,en
1159086,es
1081676,pl
1151534,es
1167725,en
1025067,hi
1172674,en
985883,tr
1172676,en
1172675,en
1165234,en
961268,ko
1174725,de
